order_id,product_code,qty,unit_sales_price,order_item_id
1,PCOB-12141092,3,135.0,3
1,PCOC-64828154,4,21.12,5
1,PCOC-13184244,1,53.28,1
1,PCOC-56652883,1,120.91,2
1,PCOB-75416977,3,95.2,4
1,PCOB-15509453,5,18.9,6
2,PCOD-88991504,4,107.88,4
2,PCOB-51584964,1,45.36,1
2,PCOA-53479957,1,107.38,2
2,PCOC-19381264,3,26.68,3
3,PCOB-64052155,3,31.68,2
3,PCOD-82170712,5,57.82,3
3,PCOD-26108606,1,3.44,1
4,PCOC-20604603,5,14.4,2
4,PCOE-30419841,4,69.12,1
5,PCOA-65828660,4,31.32,1
6,PCOD-19511875,2,27.25,1
6,PCOE-20170753,3,85.86,2
6,PCOC-91891817,5,149.33,4
6,PCOE-94165479,3,93.73,3
7,PCOA-44131413,3,118.8,1
7,PCOC-69447506,5,50.96,3
7,PCOD-61264674,5,53.58,4
7,PCOB-10983499,4,67.45,2
8,PCOA-19532764,1,91.8,1
8,PCOC-72723775,3,35.26,3
8,PCOB-77955662,2,106.22,2
9,PCOE-03981366,1,68.4,1
9,PCOA-53479957,4,122.72,5
9,PCOE-15680629,2,111.32,2
9,PCOB-10983499,2,58.22,3
9,PCOC-13184244,2,53.28,4
10,PCOB-09671902,1,9.6,1
10,PCOE-47840665,3,114.81,2
10,PCOB-38032530,5,84.0,4
10,PCOD-88991504,3,106.64,3
11,PCOB-72772528,2,58.59,2
11,PCOE-57782375,4,126.14,3
11,PCOC-43545473,1,8.08,1
12,PCOD-07627714,2,87.15,1
12,PCOD-98073343,4,31.82,4
12,PCOB-09671902,5,10.0,8
12,PCOC-73705890,3,104.03,3
12,PCOA-24929640,2,22.68,2
12,PCOB-63496113,5,4.86,9
12,PCOE-86894448,4,30.51,5
12,PCOB-09226891,5,96.9,10
12,PCOB-12878556,4,133.34,6
12,PCOC-24062195,4,8.0,7
13,PCOD-78661753,1,85.6,1
13,PCOB-63061554,2,138.86,2
13,PCOA-26476739,2,155.89,3
13,PCOB-10983499,2,56.8,4
13,PCOE-33146323,3,61.6,5
14,PCOE-99282732,1,102.34,1
14,PCOB-64966149,1,17.2,2
14,PCOD-03406368,2,20.02,3
15,PCOC-85459818,2,62.08,1
15,PCOE-12469948,3,64.9,2
16,PCOA-91488007,4,21.6,2
16,PCOB-69411970,4,37.45,3
16,PCOD-34349896,5,16.8,4
16,PCOC-76628401,5,57.0,5
16,PCOC-27756248,1,41.71,1
17,PCOD-47188054,3,80.23,1
17,PCOB-75149953,3,30.36,2
18,PCOE-60652354,4,25.52,3
18,PCOE-48197628,3,108.48,1
18,PCOA-03681424,3,9.9,2
19,PCOC-33034671,4,11.76,1
19,PCOB-11165191,4,69.02,2
20,PCOE-66232806,3,163.56,2
20,PCOB-95559758,4,130.9,3
20,PCOD-51168627,5,119.18,4
20,PCOB-59585644,2,110.88,1
21,PCOE-65472195,1,86.4,1
21,PCOC-30438849,4,138.24,3
21,PCOE-12120031,4,50.6,4
21,PCOA-95393945,2,57.23,2
21,PCOE-47352351,4,122.01,5
22,PCOB-54336244,1,2.4,1
22,PCOD-47297775,1,74.16,2
22,PCOC-13184244,5,43.2,4
22,PCOC-14586131,1,129.36,3
23,PCOB-50895837,1,155.04,1
23,PCOB-51584964,5,48.72,4
23,PCOA-38136808,1,120.36,2
23,PCOC-82080443,4,17.48,3
23,PCOC-30390647,5,42.84,5
24,PCOA-18849023,5,65.96,2
24,PCOA-85189596,5,18.4,3
24,PCOA-20393678,4,159.85,1
24,PCOE-08656143,5,31.36,4
24,PCOB-32717879,5,157.3,5
25,PCOB-51584964,1,49.28,1
25,PCOE-22283089,2,13.3,2
26,PCOD-96434422,4,71.98,5
26,PCOC-80417097,3,56.44,3
26,PCOC-03048731,3,82.62,4
26,PCOA-51393411,2,25.5,2
26,PCOE-08995500,1,88.88,1
26,PCOB-65817686,5,88.11,6
27,PCOB-96862567,3,61.75,1
27,PCOB-12649531,3,62.7,2
27,PCOB-34531716,3,36.0,3
28,PCOD-26526045,2,7.08,1
28,PCOB-29747736,2,4.86,2
28,PCOE-45171170,2,22.04,3
28,PCOE-14869103,5,114.45,4
29,PCOE-38533620,4,169.05,5
29,PCOC-37724943,1,144.48,1
29,PCOC-94894485,2,31.61,4
29,PCOE-48563507,1,76.05,2
29,PCOD-51908608,1,52.8,3
30,PCOB-15509453,4,18.69,3
30,PCOB-08250947,1,37.44,1
30,PCOB-65752091,2,92.02,2
30,PCOB-38445906,4,25.07,4
31,PCOA-37797683,4,3.96,1
31,PCOB-94503088,5,152.9,3
31,PCOC-61103550,4,137.64,2
31,PCOC-60872139,5,33.95,4
32,PCOB-47251259,3,109.98,1
32,PCOA-40959015,4,76.5,2
33,PCOB-06333619,2,91.14,1
34,PCOD-77418060,5,140.42,2
34,PCOA-33657425,1,112.11,1
34,PCOA-29739235,5,124.62,3
35,PCOC-28550936,3,142.38,2
35,PCOB-22229560,2,67.9,1
36,PCOD-20616693,1,116.39,1
37,PCOC-09347901,4,22.04,4
37,PCOD-29980875,1,106.0,1
37,PCOB-35626196,2,42.32,3
37,PCOA-34569156,1,111.36,2
39,PCOD-24092272,5,56.95,2
39,PCOD-39678976,5,74.88,3
39,PCOD-47297775,1,62.64,1
40,PCOC-72723775,4,45.51,2
40,PCOC-59918287,4,149.85,3
40,PCOB-88644667,3,79.9,1
40,PCOE-47788240,4,130.13,4
41,PCOC-01194673,3,99.76,2
41,PCOC-35397229,3,62.37,3
41,PCOB-00227600,4,121.94,5
